task,expected_type,predicted_type,chosen_tier,cost_usd,baseline_usd,dispatch_latency_ms,cache_hit,verified,verdict,escalated_to,rationale
"Compare our Q3 revenue of $2.4M against a forecast of $2.1M and a Q2 actual of $2.3M. Compute growth rates, explain the variance versus forecast, and list two plausible drivers to investigate.",multi_step_reasoning,multi_step_reasoning,T3,0.0001434,0.00551875,52166.4,False,False,,,taxonomy backstop -> multi_step_reasoning (LLM said summarization) | met accuracy but skipped due to latency (p95 72404ms > 4000.0ms); used as fallback
"A warehouse ships 500 orders/day with a 2% error rate. A new scanner cuts errors by 60% but adds 5 seconds per order. At 8 seconds baseline per order and $0.90 cost per error, is the scanner worth it? Show your reasoning.",multi_step_reasoning,multi_step_reasoning,T3,0.00017285,0.00666375,63714.8,False,False,,,Involves multiple steps of calculation and reasoning about cost-effectiveness. | met accuracy but skipped due to latency (p95 72404ms > 4000.0ms); used as fallback
"We have three vendor quotes: A charges $10k flat, B charges $6k plus $50 per unit, C charges $80 per unit. At what unit volumes is each vendor cheapest? Walk through the breakeven analysis.",multi_step_reasoning,multi_step_reasoning,T3,0.00017075,0.00661,72987.3,False,False,,,Requires comparing costs and solving for breakeven points. | met accuracy but skipped due to latency (p95 72404ms > 4000.0ms); used as fallback
"Write a Python function that takes a list of (timestamp, cost) tuples and returns cumulative daily spend as a dict keyed by date.",code_generation,code_generation,T3,0.0001731,0.00677,76660.4,False,False,,,Generating a Python function with basic logic for aggregation. | met accuracy but skipped due to latency (p95 72987ms > 4000.0ms); used as fallback
"Write a SQL query that returns the top 5 customers by total order value in the last 90 days from tables orders(id, customer_id, total, created_at) and customers(id, name).",code_generation,code_generation,T3,8.6e-05,0.0032475,39801.8,False,False,,,This task requires writing a SQL query which involves multiple steps. | met accuracy but skipped due to latency (p95 73079ms > 4000.0ms); used as fallback
Write a Python decorator that retries a function up to 3 times with exponential backoff.,code_generation,code_generation,T3,0.0001387,0.00541875,64558.4,False,False,,,This task requires writing code for a specific functionality. | met accuracy but skipped due to latency (p95 73079ms > 4000.0ms); used as fallback
"Does our standard consulting contract's limitation-of-liability clause typically cover indirect damages, and what should we ask legal to review before signing a variant that caps liability at fees paid?",legal_or_financial,legal_or_financial,T3,0.00011215,0.00431,49712.9,False,False,,,Involves specific legal terms and potential financial implications. | met accuracy but skipped due to latency (p95 73079ms > 4000.0ms); used as fallback
"Explain the tax implications of classifying a worker as a contractor versus an employee for a US small business, and what factors determine the classification.",legal_or_financial,legal_or_financial,T3,0.00017555,0.0068625,77778.5,False,False,,,sensitive-term backstop matched 'tax'; pinned to top tier (was factual_lookup) | met accuracy but skipped due to latency (p95 73079ms > 4000.0ms); used as fallback
What should we consider before recognizing revenue on a 12-month SaaS contract paid upfront?,legal_or_financial,legal_or_financial,T3,0.00014705,0.00575,66030.2,False,False,,,sensitive-term backstop matched 'contract'; pinned to top tier (was classification) | met accuracy but skipped due to latency (p95 73950ms > 4000.0ms); used as fallback
"What is the capital of Australia, please?",factual_lookup,factual_lookup,T1,1.16e-06,0.0001275,1998.5,False,False,,,Simple factual question with a short answer. | met accuracy but skipped due to latency (p95 73079ms > 4000.0ms); used as fallback
Which city is Australia's capital?,factual_lookup,factual_lookup,T1,7.17e-06,0.001335,3327.8,False,False,,,Simple factual question about a well-known fact. | met accuracy but skipped due to latency (p95 73079ms > 4000.0ms); used as fallback
"Summarize in two sentences: Our Q3 launch shipped on time, adoption exceeded forecast by 12%, but churn in the SMB segment rose 3 points due to onboarding friction, which the CS team is addressing with a new guided setup flow. Thanks!",summarization,summarization,T2,1.087e-05,0.00066375,3349.5,False,False,,,Simple summary of business metrics and issues. | met accuracy but skipped due to latency (p95 73079ms > 4000.0ms); used as fallback
Is this review positive or negative: 'Setup took five minutes and it worked perfectly out of the box.',classification,classification,T1,4.4e-06,0.0007425,1828.8,False,False,,,"Short text with clear sentiment, straightforward classification. | met accuracy but skipped due to latency (p95 73079ms > 4000.0ms); used as fallback"
Write a two-line reminder that the office is closed Monday for the public holiday.,creative_short,creative_short,T2,6.28e-06,0.00022625,1777.3,False,True,pass,T2,Short creative task with simple content. | met accuracy but skipped due to latency (p95 73079ms > 4000.0ms); used as fallback
"Explain step by step how compound interest differs from simple interest, with a 3-year example at 5% on $1,000 for both.",multi_step_reasoning,multi_step_reasoning,T3,0.00023495,0.0092275,98814.9,False,False,,,taxonomy backstop -> multi_step_reasoning (LLM said summarization) | met accuracy but skipped due to latency (p95 73079ms > 4000.0ms); used as fallback
Write a Python function to validate that a string is a well-formed semantic version (major.minor.patch).,code_generation,code_generation,T3,0.0001595,0.0062425,68026.2,False,False,,,"This task requires writing code, which is more complex than simple lookup or classification. | met accuracy but skipped due to latency (p95 73950ms > 4000.0ms); used as fallback"
